NOME,QTD_VERTICES,QTD_ARESTAS,QTD_ARCOS,QTD_VERTICES_REQUERIDOS,QTD_ARESTAS_REQUERIDAS,QTD_ARCOS_REQUERIDOS,DENSIDADE_GRAFO,GRAU_MINIMO_ENTRADA,GRAU_MAXIMO_ENTRADA,GRAU_MINIMO_SAIDA,GRAU_MAXIMO_SAIDA,CAMINHO_MEDIO,DIAMETRO
mgval_0.40_2C,24,14,35,14,8,21,0.0253623,2,4,1,4,19.3225,47
mgval_0.40_3A,24,15,33,13,9,19,0.0271739,1,4,1,4,6.25543,19
mgval_0.40_3B,24,16,29,14,9,17,0.0289855,1,4,2,4,8.08877,23
mgval_0.40_3C,24,18,25,13,10,15,0.0326087,1,4,1,4,6.54167,18
mgval_0.40_4A,41,26,69,26,15,41,0.0158537,1,5,1,5,17.9445,44
mgval_0.40_4B,41,19,83,29,11,49,0.0115854,1,6,1,4,18.2402,44
mgval_0.40_4C,41,21,82,28,12,49,0.0128049,1,6,1,6,18.414,45
mgval_0.40_4D,41,21,83,27,12,49,0.0128049,1,5,1,5,18.0646,43
mgval_0.40_5A,34,22,74,25,13,44,0.0196078,2,5,1,5,16.8904,42
mgval_0.40_5B,34,35,56,23,21,33,0.0311943,2,5,2,5,16.2656,42
mgval_0.40_5C,34,17,81,26,10,48,0.0151515,1,5,1,5,17.3717,48
mgval_0.40_5D,34,29,63,25,17,37,0.0258467,1,5,2,5,16.4688,41
mgval_0.40_6A,31,22,47,20,13,28,0.0236559,1,5,2,5,13.7753,34
mgval_0.40_6B,31,22,44,19,13,26,0.0236559,1,5,1,5,14.4817,35
mgval_0.40_6C,31,23,45,22,13,27,0.0247312,1,5,1,5,13.2839,39
mgval_0.40_7A,40,36,50,25,21,30,0.0230769,1,5,1,8,15.3538,35
mgval_0.40_7B,40,25,66,23,15,39,0.0160256,1,7,1,7,16.009,41
mgval_0.40_7C,40,28,62,27,16,37,0.0179487,1,7,1,8,15.0795,34
mgval_0.40_8A,30,20,76,23,12,45,0.0229885,2,7,2,7,15.8276,36
mgval_0.40_8B,30,27,64,23,16,38,0.0310345,2,7,1,6,15.3494,36
mgval_0.40_8C,30,28,55,23,16,33,0.0321839,1,7,2,6,17.0414,43
mgval_0.40_9A,50,32,100,35,19,60,0.0130612,1,6,2,5,12.7461,32
mgval_0.40_9B,50,44,76,34,26,45,0.0179592,2,6,1,6,13.0539,38
mgval_0.40_9C,50,42,83,30,25,49,0.0171429,1,6,2,6,12.1441,32
mgval_0.40_9D,50,38,93,39,22,55,0.0155102,1,6,1,6,12.0922,30
mgval_0.45_10A,50,32,106,40,17,58,0.0130612,1,5,1,5,13.3147,35
mgval_0.45_10B,50,33,101,35,18,55,0.0134694,1,5,1,5,13.9963,37
mgval_0.45_10C,50,36,100,37,19,55,0.0146939,1,5,1,5,12.5376,38
mgval_0.45_10D,50,42,87,35,23,47,0.0171429,1,5,1,5,12.7216,41
mgval_0.45_1A,24,20,35,17,11,19,0.0362319,1,5,1,5,11.6304,28
mgval_0.45_1B,24,13,38,14,7,20,0.0235507,1,5,1,4,13.6993,31
mgval_0.45_1C,24,17,36,16,9,19,0.0307971,2,5,1,5,15.0217,45
mgval_0.45_2A,24,16,28,15,8,15,0.0289855,1,4,1,4,21.0109,50
mgval_0.45_2B,24,12,40,18,6,22,0.0217391,1,4,1,4,18.1612,42
mgval_0.45_2C,24,14,35,18,7,19,0.0253623,2,4,1,4,19.3225,47
mgval_0.45_3A,24,15,33,15,8,18,0.0271739,1,4,1,4,6.25543,19
mgval_0.45_3B,24,16,29,16,8,15,0.0289855,1,4,2,4,8.08877,23
mgval_0.45_3C,24,18,25,16,9,13,0.0326087,1,4,1,4,6.54167,18
mgval_0.45_4A,41,26,69,29,14,37,0.0158537,1,5,1,5,17.9445,44
mgval_0.45_4B,41,19,83,36,10,45,0.0115854,1,6,1,4,18.2402,44
mgval_0.45_4C,41,21,82,29,11,45,0.0128049,1,6,1,6,18.414,45
mgval_0.45_4D,41,21,83,31,11,45,0.0128049,1,5,1,5,18.0646,43
mgval_0.45_5A,34,22,74,26,12,40,0.0196078,2,5,1,5,16.8904,42
mgval_0.45_5B,34,35,56,26,19,30,0.0311943,2,5,2,5,16.2656,42
mgval_0.45_5C,34,17,81,26,9,44,0.0151515,1,5,1,5,17.3717,48
mgval_0.45_5D,34,29,63,27,15,34,0.0258467,1,5,2,5,16.4688,41
mgval_0.45_6A,31,22,47,23,12,25,0.0236559,1,5,2,5,13.7753,34
mgval_0.45_6B,31,22,44,22,12,24,0.0236559,1,5,1,5,14.4817,35
mgval_0.45_6C,31,23,45,22,12,24,0.0247312,1,5,1,5,13.2839,39
mgval_0.45_7A,40,36,27,27,19,27,0.0230769,1,5,0,7,16.7732,40
mgval_0.45_7B,40,25,66,28,13,36,0.0160256,1,7,1,7,16.009,41
mgval_0.45_7C,40,28,62,27,15,34,0.0179487,1,7,1,8,15.0795,34
mgval_0.45_8A,30,20,76,24,11,41,0.0229885,2,7,2,7,15.8276,36
mgval_0.45_8B,30,27,64,23,14,35,0.0310345,2,7,1,6,15.3494,36
mgval_0.45_8C,30,28,55,20,15,30,0.0321839,1,7,2,6,17.0414,43
mgval_0.45_9A,50,32,100,37,17,55,0.0130612,1,6,2,5,12.7461,32
mgval_0.45_9B,50,44,76,35,24,41,0.0179592,2,6,1,6,13.0539,38
mgval_0.45_9C,50,42,83,34,23,45,0.0171429,1,6,2,6,12.1441,32
mgval_0.45_9D,50,38,93,37,20,51,0.0155102,1,6,1,6,12.0922,30
mgval_0.50_10A,50,32,106,40,16,53,0.0130612,1,5,1,5,13.3147,35
mgval_0.50_10B,50,33,101,44,16,50,0.0134694,1,5,1,5,13.9963,37
mgval_0.50_10C,50,36,100,40,18,50,0.0146939,1,5,1,5,12.5376,38
mgval_0.50_10D,50,42,87,46,21,43,0.0171429,1,5,1,5,12.7216,41
mgval_0.50_1A,24,20,35,16,10,17,0.0362319,1,5,1,5,11.6304,28
mgval_0.50_1B,24,13,38,17,6,19,0.0235507,1,5,1,4,13.6993,31
mgval_0.50_1C,24,17,36,14,8,18,0.0307971,2,5,1,5,15.0217,45
mgval_0.50_2A,24,16,28,16,8,14,0.0289855,1,4,1,4,21.0109,50
mgval_0.50_2B,24,12,40,18,6,20,0.0217391,1,4,1,4,18.1612,42
mgval_0.50_2C,24,14,35,16,7,17,0.0253623,2,4,1,4,19.3225,47
mgval_0.50_3A,24,15,33,17,7,16,0.0271739,1,4,1,4,6.25543,19
mgval_0.50_3B,24,16,29,15,8,14,0.0289855,1,4,2,4,8.08877,23
mgval_0.50_3C,24,18,25,15,9,12,0.0326087,1,4,1,4,6.54167,18
mgval_0.50_4A,41,26,69,31,13,34,0.0158537,1,5,1,5,17.9445,44
mgval_0.50_4B,41,19,83,32,9,41,0.0115854,1,6,1,4,18.2402,44
mgval_0.50_4C,41,21,82,32,10,41,0.0128049,1,6,1,6,18.414,45
mgval_0.50_4D,41,21,83,32,10,41,0.0128049,1,5,1,5,18.0646,43
mgval_0.50_5A,34,22,74,27,11,37,0.0196078,2,5,1,5,16.8904,42
mgval_0.50_5B,34,35,56,28,17,28,0.0311943,2,5,2,5,16.2656,42
mgval_0.50_5C,34,17,81,26,8,40,0.0151515,1,5,1,5,17.3717,48
mgval_0.50_5D,34,29,63,27,14,31,0.0258467,1,5,2,5,16.4688,41
mgval_0.50_6A,31,22,47,19,11,23,0.0236559,1,5,2,5,13.7753,34
mgval_0.50_6B,31,22,44,23,11,22,0.0236559,1,5,1,5,14.4817,35
mgval_0.50_6C,31,23,45,22,11,22,0.0247312,1,5,1,5,13.2839,39
mgval_0.50_7A,40,36,50,31,18,25,0.0230769,1,5,1,8,15.3538,35
mgval_0.50_7B,40,25,66,26,12,33,0.0160256,1,7,1,7,16.009,41
mgval_0.50_7C,40,28,62,29,14,31,0.0179487,1,7,1,8,15.0795,34
mgval_0.50_8A,30,20,76,26,10,38,0.0229885,2,7,2,7,15.8276,36
mgval_0.50_8B,30,27,64,23,13,32,0.0310345,2,7,1,6,15.3494,36
mgval_0.50_8C,30,28,55,22,14,27,0.0321839,1,7,2,6,17.0414,43
mgval_0.50_9A,50,32,100,39,16,50,0.0130612,1,6,2,5,12.7461,32
mgval_0.50_9B,50,44,76,37,22,38,0.0179592,2,6,1,6,13.0539,38
mgval_0.50_9C,50,42,83,38,21,41,0.0171429,1,6,2,6,12.1441,32
mgval_0.50_9D,50,38,93,38,19,46,0.0155102,1,6,1,6,12.0922,30
